Muros	M2Y	ASD-C4.1 Min	Bottom	-3.8	-0.2073	-0.0231	-0.0192	-0.0193	-0.2513
Muros	M2Y	ASD-C4.2 Max	Top	-0.8617	0.8933	-0.0013	0.0037	0.0084	0.6053
Muros	M2Y	ASD-C4.2 Max	Bottom	-2.2574	0.8685	0.0047	0.0022	0.0034	0.5706
Muros	M2Y	ASD-C4.2 Min	Top	-0.9666	-0.8895	-0.0091	-0.0043	-0.0009	-0.6125
Muros	M2Y	ASD-C4.2 Min	Bottom	-2.5284	-0.866	-0.0003	-0.0029	-0.0004	-0.5744
Muros	M3Y	PP	Top	-1.7415	0.0336	-0.008	0.0091	0.0025	0.205
Muros	M3Y	PP	Bottom	-4.292	-0.1932	0.0034	-0.0034	0.0015	-0.1734
Muros	M3Y	SC	Top	-0.2119	0.0153	0.0069	-0.0124	-0.0034	0.1192
Muros	M3Y	SC	Bottom	-0.3729	-0.0017	0.0063	-0.0117	0.0022	-0.2217
Muros	M3Y	EX Max	Bottom	1.4867	0.3067	0.026	0.0553	0.0137	1.3238
Muros	M3Y	EY Max	Top	0.1987	1.3883	0.0452	0.0255	0.043	0.7352
Muros	M3Y	EY Max	Bottom	0.4676	1.4134	0.013	0.008	0.0014	1.5083
Muros	M3Y	ASD-C1	Top	-1.7415	0.0336	-0.008	0.0091	0.0025	0.205
Muros	M3Y	ASD-C1	Bottom	-4.292	-0.1932	0.0034	-0.0034	0.0015	-0.1734
Muros	M3Y	ASD-C2	Top	-1.9534	0.0489	-0.0011	-0.0034	-0.0009	0.3242
Muros	M3Y	ASD-C2	Bottom	-4.665	-0.1949	0.0097	-0.015	0.0037	-0.395
Muros	M3Y	ASD-C3.1 Max	Top	-1.47	0.3362	0.1163	0.1122	0.0958	1.1084
Muros	M3Y	ASD-C3.1 Max	Bottom	-3.1783	0.1118	0.0356	0.0403	0.0175	0.9287
Muros	M3Y	ASD-C3.1 Min	Top	-2.4368	-0.2385	-0.1185	-0.1189	-0.0975	-0.4599
Muros	M3Y	ASD-C3.1 Min	Bottom	-6.1517	-0.5016	-0.0163	-0.0704	-0.01	-1.7188
Muros	M3Y	ASD-C3.2 Max	Top	-1.7547	1.4372	0.0441	0.0222	0.0421	1.0594
Muros	M3Y	ASD-C3.2 Max	Bottom	-4.1973	1.2185	0.0227	-0.0071	0.0052	1.1132
Muros	M3Y	ASD-C3.2 Min	Top	-2.1521	-1.3394	-0.0463	-0.0289	-0.0438	-0.4109
Muros	M3Y	ASD-C3.2 Min	Bottom	-5.1326	-1.6083	-0.0034	-0.023	0.0023	-1.9033
Muros	M3Y	ASD-C4.1 Max	Top	-1.2581	0.321	0.1094	0.1246	0.0992	0.9892
Muros	M3Y	ASD-C4.1 Max	Bottom	-2.8053	0.1135	0.0293	0.0519	0.0153	1.1504
Muros	M3Y	ASD-C4.1 Min	Top	-2.2249	-0.2537	-0.1255	-0.1065	-0.0941	-0.5791
Muros	M3Y	ASD-C4.1 Min	Bottom	-5.7787	-0.4999	-0.0226	-0.0587	-0.0122	-1.4971
Muros	M3Y	ASD-C4.2 Max	Top	-1.5429	1.422	0.0372	0.0346	0.0455	0.9402
Muros	M3Y	ASD-C4.2 Max	Bottom	-3.8244	1.2203	0.0164	0.0046	0.003	1.3349
Muros	M3Y	ASD-C4.2 Min	Top	-1.9402	-1.3547	-0.0533	-0.0165	-0.0404	-0.5301
Muros	M3Y	ASD-C4.2 Min	Bottom	-4.7597	-1.6066	-0.0096	-0.0113	0.0001	-1.6816
Muros	M4Y	PP	Top	-0.8921	0.1501	-0.0037	0.0006	0.0017	-0.3483
Muros	M4Y	PP	Bottom	-3.5467	0.1529	0.0007	-0.0037	0.0002	0.2137
Muros	M4Y	SC	Top	-0.4087	-0.1278	-0.0025	-0.0053	0.0003	0.7359
Muros	M4Y	SC	Bottom	-0.528	-0.1284	-0.0007	-0.0018	-0.0003	0.5649
Muros	M4Y	EX Max	Bottom	0.4918	0.2682	0.0333	0.0571	0.0148	0.7635
Muros	M4Y	EY Max	Top	0.0254	1.3663	0.0209	0.03	0.0221	0.793
Muros	M4Y	EY Max	Bottom	0.1129	1.4649	0.0115	0.014	0.0014	1.7904
Muros	M4Y	ASD-C1	Top	-0.8921	0.1501	-0.0037	0.0006	0.0017	-0.3483
Muros	M4Y	ASD-C1	Bottom	-3.5467	0.1529	0.0007	-0.0037	0.0002	0.2137
Muros	M4Y	ASD-C2	Top	-1.3008	0.0223	-0.0061	-0.0047	0.002	0.3876
Muros	M4Y	ASD-C2	Bottom	-4.0747	0.0245	0.0001	-0.0056	-0.00004807	0.7786
Muros	M4Y	ASD-C3.1 Max	Top	-1.2736	0.2449	0.0864	0.1131	0.067	0.6044
Muros	M4Y	ASD-C3.1 Max	Bottom	-3.5829	0.2926	0.0334	0.0515	0.0148	1.5421
Muros	M4Y	ASD-C3.1 Min	Top	-1.328	-0.2003	-0.0986	-0.1226	-0.0629	0.1708
Muros	M4Y	ASD-C3.1 Min	Bottom	-4.5665	-0.2437	-0.0332	-0.0626	-0.0149	0.015
Muros	M4Y	ASD-C3.2 Max	Top	-1.2754	1.3886	0.0148	0.0252	0.0241	1.1806
Muros	M4Y	ASD-C3.2 Max	Bottom	-3.9618	1.4894	0.0116	0.0085	0.0013	2.569
Muros	M4Y	ASD-C3.2 Min	Top	-1.3262	-1.344	-0.027	-0.0347	-0.0201	-0.4055
Muros	M4Y	ASD-C3.2 Min	Bottom	-4.1876	-1.4405	-0.0114	-0.0196	-0.0014	-1.0119
Muros	M4Y	ASD-C4.1 Max	Top	-0.8649	0.3727	0.0888	0.1184	0.0667	-0.1315
Muros	M4Y	ASD-C4.1 Max	Bottom	-3.0549	0.421	0.034	0.0533	0.0151	0.9772
Muros	M4Y	ASD-C4.1 Min	Top	-0.9193	-0.0724	-0.0961	-0.1173	-0.0632	-0.5651
Muros	M4Y	ASD-C4.1 Min	Bottom	-4.0385	-0.1153	-0.0326	-0.0608	-0.0146	-0.5498
Muros	M4Y	ASD-C4.2 Max	Top	-0.8667	1.5164	0.0173	0.0305	0.0238	0.4447
Muros	M4Y	ASD-C4.2 Max	Bottom	-3.4338	1.6178	0.0123	0.0103	0.0016	2.0041
Muros	M4Y	ASD-C4.2 Min	Top	-0.9175	-1.2162	-0.0246	-0.0294	-0.0204	-1.1413
Muros	M4Y	ASD-C4.2 Min	Bottom	-3.6596	-1.3121	-0.0108	-0.0177	-0.0012	-1.5767
Muros	M5Y	PP	Top	-1.6213	-0.1582	0.0119	-0.0063	-0.0164	1.4434
Muros	M5Y	PP	Bottom	-4.3743	-0.1548	0.0056	0.0061	0.0001	0.6504
Muros	M5Y	SC	Top	-0.3874	0.1277	0.0014	-0.0024	-0.0008	-0.7288
Muros	M5Y	SC	Bottom	-0.4962	0.1286	0.0004	-0.0005	0.00002761	-0.6071
Muros	M5Y	EX Max	Top	0.4754	0.1933	0.0801	0.1112	0.0793	0.7806
Muros	M5Y	EX Max	Bottom	0.5313	0.2355	0.0389	0.0736	0.0149	0.6137
Muros	M5Y	EY Max	Top	0.1027	1.2815	0.0228	0.0377	0.042	0.6867
Muros	M5Y	EY Max	Bottom	0.4254	1.3426	0.0159	0.0131	0.0011	2.1052
Muros	M5Y	ASD-C1	Top	-1.6213	-0.1582	0.0119	-0.0063	-0.0164	1.4434
Muros	M5Y	ASD-C1	Bottom	-4.3743	-0.1548	0.0056	0.0061	0.0001	0.6504
Muros	M5Y	ASD-C2	Top	-2.0087	-0.0305	0.0133	-0.0087	-0.0172	0.7145
Muros	M5Y	ASD-C2	Bottom	-4.8705	-0.0262	0.0059	0.0056	0.0001	0.0433
Muros	M5Y	ASD-C3.1 Max	Top	-1.5334	0.1628	0.0934	0.1024	0.0621	1.4951
Muros	M5Y	ASD-C3.1 Max	Bottom	-4.3392	0.2093	0.0448	0.0791	0.015	0.657
Muros	M5Y	ASD-C3.1 Min	Top	-2.4841	-0.2238	-0.0668	-0.1199	-0.0964	-0.066
Muros	M5Y	ASD-C3.1 Min	Bottom	-5.4018	-0.2617	-0.033	-0.068	-0.0147	-0.5704
Muros	M5Y	ASD-C3.2 Max	Top	-1.906	1.251	0.0361	0.029	0.0248	1.4013
Muros	M5Y	ASD-C3.2 Max	Bottom	-4.4451	1.3164	0.0218	0.0186	0.0013	2.1485
Muros	M5Y	ASD-C3.2 Min	Top	-2.1115	-1.312	-0.0095	-0.0465	-0.0592	0.0278
Muros	M5Y	ASD-C3.2 Min	Bottom	-5.2959	-1.3688	-0.01	-0.0075	-0.001	-2.0619
Muros	M5Y	ASD-C4.1 Max	Top	-1.1459	0.0351	0.092	0.1049	0.0628	2.2239
Muros	M5Y	ASD-C4.1 Max	Bottom	-3.843	0.0807	0.0444	0.0796	0.015	1.2641
Muros	M5Y	ASD-C4.1 Min	Top	-2.0967	-0.3515	-0.0681	-0.1175	-0.0957	0.6628
Muros	M5Y	ASD-C4.1 Min	Bottom	-4.9056	-0.3903	-0.0333	-0.0675	-0.0148	0.0367
Muros	M5Y	ASD-C4.2 Max	Top	-1.5186	1.1233	0.0348	0.0314	0.0256	2.1301
Muros	M5Y	ASD-C4.2 Max	Bottom	-3.9489	1.1878	0.0214	0.0191	0.0012	2.7556
Muros	M5Y	ASD-C4.2 Min	Top	-1.724	-1.4397	-0.0109	-0.044	-0.0584	0.7566
Muros	M5Y	ASD-C4.2 Min	Bottom	-4.7997	-1.4974	-0.0103	-0.007	-0.001	-1.4548
Muros	M6Y	PP	Top	-1.9088	-0.0128	0.0019	-0.0053	0.0008	-0.3787
Muros	M6Y	PP	Bottom	-4.5531	0.2522	-0.0056	-0.0007	-0.0013	0.0227
Muros	M6Y	SC	Top	-0.2177	-0.0041	0.0062	0.0132	-0.0001	-0.1408
Muros	M6Y	SC	Bottom	-0.3184	0.0156	-0.0046	-0.0089	-0.0021	0.105
Muros	M6Y	EX Max	Bottom	0.4437	0.1568	0.0149	0.0309	0.0075	0.5416
Muros	M6Y	EY Max	Top	0.2499	1.6164	0.0169	0.0421	0.0226	0.7852
Muros	M6Y	EY Max	Bottom	0.6196	1.6492	0.0176	0.0121	0.0023	1.8897
Muros	M6Y	ASD-C1	Top	-1.9088	-0.0128	0.0019	-0.0053	0.0008	-0.3787
Muros	M6Y	ASD-C1	Bottom	-4.5531	0.2522	-0.0056	-0.0007	-0.0013	0.0227
Muros	M6Y	ASD-C2	Top	-2.1265	-0.0168	0.0081	0.0079	0.0007	-0.5195
Muros	M6Y	ASD-C2	Bottom	-4.8715	0.2678	-0.0102	-0.0097	-0.0034	0.1277
Muros	M6Y	ASD-C3.1 Max	Top	-2.0528	0.1271	0.0622	0.044	0.0675	-0.4213
Muros	M6Y	ASD-C3.1 Max	Bottom	-4.4278	0.4247	0.0047	0.0213	0.0041	0.6693
