M2Y	ASD-C4.2 Min	Bottom	-2.5284	-0.8659	-0.0003	-0.0029	-0.0004	-0.5743
M3Y	PP	Top	-1.7415	0.0336	-0.008	0.0091	0.0025	0.205
M3Y	PP	Bottom	-4.292	-0.1932	0.0034	-0.0034	0.0015	-0.1734
M3Y	SC	Top	-0.2119	0.0153	0.0069	-0.0124	-0.0034	0.1192
M3Y	SC	Bottom	-0.3729	-0.0017	0.0063	-0.0117	0.0022	-0.2217
M3Y	EX Max	Top	0.4837	0.2875	0.1175	0.1156	0.0967	0.7845
M3Y	EX Max	Bottom	1.4874	0.3068	0.026	0.0554	0.0137	1.3244
M3Y	EY Max	Top	0.1986	1.3881	0.0452	0.0255	0.043	0.7351
M3Y	EY Max	Bottom	0.4676	1.4132	0.013	0.008	0.0014	1.508
M3Y	ASD-C1	Top	-1.7415	0.0336	-0.008	0.0091	0.0025	0.205
M3Y	ASD-C1	Bottom	-4.292	-0.1932	0.0034	-0.0034	0.0015	-0.1734
M3Y	ASD-C2	Top	-1.9534	0.0489	-0.0011	-0.0034	-0.0009	0.3242
M3Y	ASD-C2	Bottom	-4.665	-0.1949	0.0097	-0.015	0.0037	-0.395
M3Y	ASD-C3.1 Max	Top	-1.4698	0.3364	0.1163	0.1122	0.0958	1.1088
M3Y	ASD-C3.1 Max	Bottom	-3.1775	0.112	0.0356	0.0403	0.0175	0.9294
M3Y	ASD-C3.1 Min	Top	-2.4371	-0.2386	-0.1186	-0.1189	-0.0976	-0.4603
M3Y	ASD-C3.1 Min	Bottom	-6.1524	-0.5017	-0.0163	-0.0704	-0.01	-1.7195
M3Y	ASD-C3.2 Max	Top	-1.7548	1.437	0.0441	0.0222	0.0421	1.0593
M3Y	ASD-C3.2 Max	Bottom	-4.1974	1.2183	0.0227	-0.0071	0.0052	1.113
M3Y	ASD-C3.2 Min	Top	-2.152	-1.3392	-0.0463	-0.0289	-0.0438	-0.4108
M3Y	ASD-C3.2 Min	Bottom	-5.1326	-1.6081	-0.0034	-0.023	0.0023	-1.9031
M3Y	ASD-C4.1 Max	Top	-1.2579	0.3211	0.1094	0.1246	0.0992	0.9896
M3Y	ASD-C4.1 Max	Bottom	-2.8046	0.1137	0.0294	0.052	0.0153	1.1511
M3Y	ASD-C4.1 Min	Top	-2.2252	-0.2538	-0.1255	-0.1065	-0.0942	-0.5795
M3Y	ASD-C4.1 Min	Bottom	-5.7795	-0.5	-0.0226	-0.0587	-0.0122	-1.4978
M3Y	ASD-C4.2 Max	Top	-1.5429	1.4218	0.0372	0.0346	0.0455	0.9401
M3Y	ASD-C4.2 Max	Bottom	-3.8245	1.2201	0.0164	0.0046	0.003	1.3347
M3Y	ASD-C4.2 Min	Top	-1.9402	-1.3545	-0.0532	-0.0165	-0.0404	-0.53
M3Y	ASD-C4.2 Min	Bottom	-4.7596	-1.6064	-0.0096	-0.0113	0.0001	-1.6814
M4Y	PP	Top	-0.8921	0.1501	-0.0037	0.0006	0.0017	-0.3483
M4Y	PP	Bottom	-3.5467	0.1529	0.0007	-0.0037	0.0002	0.2137
M4Y	SC	Top	-0.4087	-0.1278	-0.0025	-0.0053	0.0003	0.7359
M4Y	SC	Bottom	-0.528	-0.1284	-0.0007	-0.0018	-0.0003	0.5649
M4Y	EX Max	Top	0.0272	0.2227	0.0925	0.1179	0.065	0.2169
M4Y	EX Max	Bottom	0.4921	0.2683	0.0333	0.0571	0.0148	0.7639
M4Y	EY Max	Top	0.0254	1.3661	0.0209	0.03	0.0221	0.7929
M4Y	EY Max	Bottom	0.1129	1.4647	0.0115	0.014	0.0014	1.7902
M4Y	ASD-C1	Top	-0.8921	0.1501	-0.0037	0.0006	0.0017	-0.3483
M4Y	ASD-C1	Bottom	-3.5467	0.1529	0.0007	-0.0037	0.0002	0.2137
M4Y	ASD-C2	Top	-1.3008	0.0223	-0.0061	-0.0047	0.002	0.3876
M4Y	ASD-C2	Bottom	-4.0747	0.0245	0.0001	-0.0056	-0.00004807	0.7786
M4Y	ASD-C3.1 Max	Top	-1.2736	0.245	0.0864	0.1132	0.067	0.6045
M4Y	ASD-C3.1 Max	Bottom	-3.5826	0.2928	0.0334	0.0515	0.0148	1.5425
M4Y	ASD-C3.1 Min	Top	-1.328	-0.2004	-0.0986	-0.1227	-0.063	0.1707
M4Y	ASD-C3.1 Min	Bottom	-4.5668	-0.2438	-0.0332	-0.0627	-0.0149	0.0147
M4Y	ASD-C3.2 Max	Top	-1.2754	1.3884	0.0148	0.0252	0.0241	1.1805
M4Y	ASD-C3.2 Max	Bottom	-3.9618	1.4892	0.0116	0.0085	0.0013	2.5688
M4Y	ASD-C3.2 Min	Top	-1.3262	-1.3438	-0.027	-0.0347	-0.0201	-0.4054
